Player,Nation,Pos,Squad,Comp,Age,Min,MP,Gls,Ast,G+A,G-PK,PK,xG,xAG,npxG,npxG+xAG,PrgC,PrgP,PrgR,CrdY,CrdR,Gls/90,Ast/90,xG/90,market_value_eur_M,over_xG,cluster,cluster_label,GA_pred_lr,GA_pred_rf,xG_diff
Max Aarons,eng ENG,DF,Valencia,es La Liga,24.0,120,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,10,2,0,0.0,0.0,0.0,12.0,0,0,Mediocampista Creativo,-0.32,0.0,0.0
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36.0,1033,16,0,0,0,0,0,0.2,0.1,0.2,0.4,4,22,3,2,0,0.0,0.0,0.017,12.2,0,0,Mediocampista Creativo,0.02,0.09,-0.2
Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,24.0,2842,32,6,1,7,3,3,6.4,3.2,3.2,6.4,107,207,111,4,0,0.19,0.032,0.203,64.6,0,1,Delantero Goleador,10.41,8.29,-0.4
Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25.0,855,12,0,0,0,0,0,0.0,0.0,0.0,0.0,6,52,5,2,0,0.0,0.0,0.0,12.0,0,0,Mediocampista Creativo,-0.23,0.06,0.0
Ali Abdi,tn TUN,DF,Nice,fr Ligue 1,30.0,1393,25,5,2,7,5,0,4.3,1.9,4.3,6.2,35,42,101,2,0,0.323,0.129,0.277,38.8,1,0,Mediocampista Creativo,6.33,6.67,0.7
Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25.0,205,4,0,1,1,0,0,0.0,0.2,0.0,0.2,6,9,26,0,0,0.0,0.435,0.0,13.8,0,0,Mediocampista Creativo,-0.1,0.74,0.0
Abel,es ESP,DF,Osasuna,es La Liga,23.0,2074,35,2,0,2,2,0,0.5,1.0,0.5,1.6,50,77,92,3,0,0.087,0.0,0.022,19.8,1,1,Delantero Goleador,1.46,1.8,1.5
Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21.0,263,7,0,0,0,0,0,0.0,0.0,0.0,0.1,2,6,2,1,0,0.0,0.0,0.0,18.0,0,0,Mediocampista Creativo,-0.32,0.0,0.0
Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21.0,2768,34,9,2,11,8,1,8.5,3.8,7.7,11.5,75,48,169,3,0,0.292,0.065,0.276,121.2,1,1,Delantero Goleador,12.83,12.46,0.5
Abner,br BRA,DF,Lyon,fr Ligue 1,24.0,1090,19,1,1,2,1,0,0.6,1.1,0.6,1.7,31,66,55,1,0,0.083,0.083,0.05,18.1,1,0,Mediocampista Creativo,1.59,1.93,0.4
Zakaria Aboukhlal,ma MAR,MF,Toulouse,fr Ligue 1,24.0,1901,26,7,2,9,6,1,10.2,1.6,8.6,10.2,34,22,164,4,0,0.332,0.095,0.483,79.6,0,1,Delantero Goleador,12.37,11.03,-3.2
Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25.0,2463,29,0,1,1,0,0,0.9,0.3,0.9,1.2,16,79,4,13,0,0.0,0.036,0.033,14.9,0,1,Delantero Goleador,1.09,1.25,-0.9
Tammy Abraham,eng ENG,FW,Milan,it Serie A,26.0,1183,28,3,4,7,2,1,7.1,2.2,5.4,7.6,8,26,69,1,0,0.229,0.305,0.542,80.2,0,0,Mediocampista Creativo,9.51,7.71,-4.1
Francesco Acerbi,it ITA,DF,Inter,it Serie A,36.0,1710,23,0,1,1,0,0,0.4,0.6,0.4,1.0,19,62,22,0,0,0.0,0.053,0.021,14.3,0,0,Mediocampista Creativo,0.83,0.96,-0.4
Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18.0,170,4,0,0,0,0,0,0.2,0.0,0.2,0.2,0,8,0,1,0,0.0,0.0,0.105,12.2,0,0,Mediocampista Creativo,-0.1,0.06,-0.2
Akor Adams,ng NGA,FW,Sevilla,es La Liga,24.0,134,4,0,0,0,0,0,0.4,0.0,0.4,0.4,0,5,5,0,0,0.0,0.0,0.267,26.0,0,0,Mediocampista Creativo,0.11,0.15,-0.4
Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24.0,1075,15,3,1,4,3,0,4.3,1.0,4.3,5.3,11,6,45,2,0,0.252,0.084,0.361,62.0,0,0,Mediocampista Creativo,5.31,4.19,-1.3
Che Adams,sct SCO,FW,Torino,it Serie A,28.0,2652,36,9,3,12,9,0,9.0,2.0,8.2,10.2,23,40,153,2,0,0.305,0.102,0.305,126.2,0,1,Delantero Goleador,11.43,12.44,0.0
Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25.0,1965,28,0,3,3,0,0,1.6,1.0,1.6,2.6,14,76,10,7,0,0.0,0.138,0.073,29.0,0,1,Delantero Goleador,2.52,2.73,-1.6
Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23.0,1545,25,2,2,4,2,0,5.5,2.4,5.5,7.9,8,14,84,5,1,0.116,0.116,0.32,61.3,0,0,Mediocampista Creativo,7.94,4.69,-3.5
Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26.0,1409,22,1,1,2,1,0,0.9,0.2,0.9,1.2,5,42,1,4,0,0.064,0.064,0.057,18.5,1,0,Mediocampista Creativo,0.91,1.78,0.1
